geneid	pval	up_down 	pathway_ids
HCON_00005710	0.000121313	UP	ko03008,map03008
HCON_00005740	0.007821877	UP	-
HCON_00005745	0.228391402	none	-
HCON_00005760	0.051201618	none	ko03022,ko03420,ko04110,map03022,map03420,map04110
HCON_00005765	0.186695711	none	ko04140,ko04142,ko04210,ko04612,ko04621,ko04924,map04140,map04142,map04210,map04612,map04621,map04924
HCON_00005930	0.179525111	none	ko04140,ko04142,ko04210,ko04612,ko04621,ko04924,map04140,map04142,map04210,map04612,map04621,map04924
HCON_00005950	0.0000104	UP	ko04140,ko04142,ko04210,ko04612,ko04621,ko04924,map04140,map04142,map04210,map04612,map04621,map04924
HCON_00005970	0.114257119	none	ko04140,ko04142,ko04210,ko04612,ko04621,ko04924,map04140,map04142,map04210,map04612,map04621,map04924
HCON_00006560	0.435795594	none	ko00310,map00310
HCON_00006570	0.000567568	down	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko03320,ko04068,ko04151,ko04152,ko04910,ko04920,ko04922,ko04931,ko04964,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map03320,map04068,map04151,map04152,map04910,map04920,map04922,map04931,map04964
HCON_00006580	0.370830934	none	-
HCON_00006590	0.173859274	none	-
HCON_00006600	0.450663461	none	-
HCON_00006610	0.151380011	none	ko00510,ko00515,ko01100,map00510,map00515,map01100
HCON_00006620	0.358358702	none	-
HCON_00006760	0.282253759	none	ko04110,ko04111,ko04113,map04110,map04111,map04113
HCON_00006770	0.026734644	UP	-
HCON_00006800	0.061110519	none	ko04214,ko04390,ko04391,ko04392,map04214,map04390,map04391,map04392
HCON_00006810	0.016083104	UP	ko00981,ko04212,map00981,map04212
HCON_00006820	0.481294121	none	-
HCON_00006830	0.052835669	none	-
HCON_00006840	0.03768189	UP	-
HCON_00006850	0.0000596	UP	-
HCON_00006860	0.007827035	UP	ko04950,map04950
HCON_00006880	0.141489846	none	-
HCON_00006890	0.005664919	down	ko03008,map03008
HCON_00006900	0.28342492	none	ko00970,map00970
HCON_00007020	0.026768599	none	-
HCON_00007110	0.002185705	down	-
HCON_00007180	0.01528962	down	-
HCON_00007190	0.245910597	none	-
HCON_00007272	0.386720721	none	-
